nom,insee,POPULATION,departement,region,epci
Essuiles,60222,561,60,32,246000566
Le Crestet,07073,523,07,84,200016905
Briantes,36025,608,36,24,243600350
Saint-Christophe-sur-Avre,27521,149,27,28,200066462
Steenbecque,59578,1728,59,32,200040947
Miremont,63228,302,63,84,200071215
Lumes,08263,1168,08,44,200041630
Lenharrée,51319,93,51,44,200066876
Ugny,54537,733,54,44,245400262
Breuillet,17064,2777,17,75,241700640
Bournazel,81035,182,81,76,200034064
Le Châtelet-en-Brie,77100,4455,77,11,200070779
Le Grand-Quevilly,76322,25652,76,28,200023414
Came,64161,935,64,75,200067106
Saint-Martin-du-Tertre,89354,1580,89,27,248900334
Saint-Jean-de-Luz,64483,14133,64,75,200067106
Saint-Jean-de-Beugné,85233,597,85,52,200073260
Rieux-en-Val,11314,90,11,76,200035715
Laviron,25333,335,25,27,242504181
Popian,34208,347,34,76,243400694
Montbouy,45210,745,45,24,200067676
Villers-la-Ville,70562,143,70,27,247000714
Montreuil-en-Caux,76449,522,76,28,200068534
Taissy,51562,2226,51,44,200067213
Anvéville,76023,295,76,28,200069847
Bathernay,26028,247,26,84,200073096
Saint-Victor,07301,948,07,84,200073096
Sautel,09281,107,09,76,240900464
Concorès,46072,321,46,76,244600482
Orgères,35208,4258,35,53,243500139
Belmont,38038,582,38,84,200068567
Vernoux-en-Vivarais,07338,1946,07,84,200071413
Saleilles,66189,5089,66,76,200027183
Bucy-lès-Cerny,02132,216,02,32,200043495
Bierry-les-Belles-Fontaines,89042,202,89,27,200039709
Nesle-le-Repons,51396,157,51,44,200066850
Givonne,08191,1057,08,44,200041630
Bordes,64138,2803,64,75,246401756
Sancy-les-Cheminots,02698,101,02,32,240200501
Cossé-le-Vivien,53077,3057,53,52,200048551
Breuville,50079,422,50,28,200067205
Gallardon,28168,3623,28,24,200069953
Cerville,54110,576,54,44,200070589
Mureils,26219,466,26,84,200040491
Mantes-la-Ville,78362,19778,78,11,200059889
Festigny,89164,82,89,27,200067429
Vion,72378,1445,72,52,247200090
Juré,42116,237,42,84,244200820
Amettes,62029,498,62,32,200072460
Saint-Ouen-en-Brie,77428,848,77,11,247700701
Osny,95476,17183,95,11,249500109
Cavillon,80180,103,80,32,200071223
Cayeux-en-Santerre,80181,117,80,32,200070969
Arx,40015,73,40,75,200035541
Colombiès,12068,906,12,76,200068831
Cubjac-Auvézère-Val d'Ans,24147,1091,24,75,242401024
Saint-Jean-Rohrbach,57615,988,57,44,200070746
Vétheuil,95651,839,95,11,249500513
Saint-André-Farivillers,60565,516,60,32,200068005
Tréban,81302,48,81,76,200040905
Villing,57720,492,57,44,200067650
Sarry,71500,123,71,27,247103864
Rudelle,46242,166,46,76,200067361
Bardos,64094,1804,64,75,200067106
Les Bordes,71043,88,71,27,200040038
Holque,59307,901,59,32,200040954
Genod,39247,70,39,27,200012060
Montreuil,62588,2133,62,32,200069029
Roquefort-les-Pins,06105,6628,06,93,240600585
La Calmette,30061,2099,30,76,243000643
Mainsat,23116,577,23,75,200067593
Fresquiennes,76287,1013,76,28,200070449
Warlencourt-Eaucourt,62876,146,62,32,200035442
Cramont,80221,306,80,32,200070936
Bailleul,80051,281,80,32,200070993
Saint-Vincent-du-Boulay,27613,368,27,28,200066017
Appilly,60021,539,60,32,246000756
Octeville-l'Avenel,50384,211,50,28,200067205
Jézeau,65234,100,65,76,246500573
Chatenet,17095,234,17,75,200041523
Castelnou,66044,328,66,76,246600449
Saint-Julien-de-Vouvantes,44170,968,44,52,200072726
Heuzecourt,80439,172,80,32,200070951
Vicq-sur-Mer,50142,1020,50,28,200067205
Carcen-Ponson,40067,651,40,75,244000766
Gabaston,64227,647,64,75,200067296
Appenai-sous-Bellême,61005,267,61,28,200071504
Feugarolles,47097,978,47,75,200068948
Saint-Aubin-sur-Yonne,89335,419,89,27,248900938
Sainte-Marie,35294,2259,35,53,243500741
Buzancy,08089,339,08,44,240800920
Lays-sur-le-Doubs,71254,144,71,27,247100647
Boigny-sur-Bionne,45034,2174,45,24,244500468
Saint-Aignan,41198,2883,41,24,200072064
Cheny,89099,2485,89,27,248900383
Avril,54036,1107,54,44,200070845
Schopperten,67456,433,67,44,200067841
Armeau,89018,774,89,27,248900334
Monclar-de-Quercy,82115,1945,82,76,200066884
Gondreville,54232,2828,54,44,200070563
Kervignac,56094,6559,56,53,245600440
Narbief,25421,66,25,27,242504355
Val-de-Mercy,89426,393,89,27,200067130
Ouessant,29155,846,29,53,
Tallone,2B320,321,2B,94,200015162
Longechaux,25342,76,25,27,242504181
Saulce-sur-Rhône,26337,1844,26,84,200040459
Grange-de-Vaivre,39259,39,39,27,243900420
Vaylats,46329,312,46,76,244600532
Laire,25322,395,25,27,247000722
Gungwiller,67178,281,67,44,200067841
Chalabre,11091,1111,11,76,200043776
Vendières,02777,166,02,32,240200584
Belleville-en-Caux,76072,676,76,28,200068534
Tornay,52493,33,52,44,200070332
Castillon-Debats,32088,330,32,76,243200607
Bailleul-sur-Thérain,60041,2068,60,32,200067999
Feytiat,87065,6156,87,75,248719312
Moutiers-sous-Chantemerle,79188,608,79,75,200040244
Chauzon,07061,368,07,84,200039808
Appelle,81015,69,81,76,248100158
Le Pla,09230,56,09,76,200066363
Doucelles,72120,252,72,52,200072700
Breteau,45052,77,45,24,200068278
Belloy-Saint-Léonard,80081,94,80,32,200071181
Sorbiers,42302,8083,42,84,244200770
Camelin,02140,455,02,32,200071769
Nullemont,76479,138,76,28,200069722
Sexey-aux-Forges,54505,688,54,44,245400171
Tilleux,88474,57,88,44,200068559
Cheffes,49090,974,49,52,200068955
Mauzac-et-Grand-Castang,24260,887,24,75,200034833
Les Junies,46134,261,46,76,200023737
Criquebeuf-sur-Seine,27188,1375,27,28,200035665
Mennouveaux,52319,70,52,44,200069664
Saint-Sigismond-de-Clermont,17402,164,17,75,200041523
Montigny-Montfort,21429,305,21,27,242101491
Le Pas,53176,541,53,52,245300389
Plaissan,34204,1095,34,76,243400694
Hémilly,57313,143,57,44,245700133
Saint-Bonnet-l'Enfantier,19188,381,19,75,200043172
Cambes,33084,1449,33,75,243301439
Parnac,46214,375,46,76,244600433
Peumerit,29159,800,29,53,242900710
Orsonville,78472,335,78,11,200073344
