insee_com,siren_epci,usage_2021,surfaces_ha
01045,200069193,A_i,22.22463000
01045,200069193,C,668.75
01045,200069193,C_t,114.50
01045,200069193,F_f,180.75
01045,200069193,F_m,16.25
01045,200069193,H_a,447.25
01045,200069193,H_n,35.25
01045,200069193,P_a,1.50
01045,200069193,P_h,58.75
01045,200069193,P_m,1.50
01046,200070555,A_a,7.63337150
01046,200070555,A_h,63.31174450
01046,200070555,A_i,43.55488400
01046,200070555,C,566.25
01046,200070555,C_t,200.50
01046,200070555,F_f,32.00
01046,200070555,F_p,2.25
01046,200070555,H_a,5.25
01046,200070555,P_h,236.00
01047,240100883,A_a,2.31170625
01047,240100883,A_h,75.59071875
01047,240100883,A_i,90.84757500
01047,240100883,C,466.75
01047,240100883,C_t,26.25
01047,240100883,F_c,22.50
01047,240100883,F_f,187.25
01047,240100883,F_m,30.25
01047,240100883,F_p,1.50
01047,240100883,H_a,20.00
01047,240100883,P_a,1.75
01047,240100883,P_h,13.25
01047,240100883,P_m,5.00
01049,240100610,A_a,22.31567650
01049,240100610,A_h,128.31591500
01049,240100610,A_i,193.86840850
01049,240100610,C,436.25
01049,240100610,C_t,22.00
01049,240100610,F_f,125.50
01049,240100610,F_m,6.25
01049,240100610,H_a,2.75
01049,240100610,P_a,3.50
01049,240100610,P_m,2.50
01050,200071371,A_a,3.71776450
01050,200071371,A_h,37.70888225
01050,200071371,A_i,18.32335325
01050,200071371,C,434.75
01050,200071371,C_t,42.50
01050,200071371,F_f,138.50
01050,200071371,F_m,2.50
01050,200071371,F_p,2.75
01050,200071371,H_a,5.00
01050,200071371,P_a,1.00
01050,200071371,P_h,260.25
01051,200042935,A_a,3.52419600
01051,200042935,A_h,4.59676500
01051,200042935,A_i,10.87903900
01051,200042935,C,32.00
01051,200042935,C_t,2.50
01051,200042935,F_c,10.50
01051,200042935,F_f,285.00
01051,200042935,F_m,13.50
01051,200042935,H_a,31.25
01051,200042935,P_a,2.50
01051,200042935,P_h,84.75
01051,200042935,P_m,15.50
01052,200069193,A_a,7.49414625
