siren,SURFACE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC),carbonDensity,PRODUCTION (m3∙ha-1∙an-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2∙an-1),BILAN_CO2_HA (tCO2∙ha-1∙an-1),Fexp (VOL -> CARB),
200037133,496.9,169.9933561,26475.38142,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,501.0995135,1.008451426,-1837.364883,-3.697655228,0.313430518,
200038958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200038990,91.7,160.9455517,4794.611585,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,175.8130176,1.917263005,-644.647731,-7.029964351,0.32486664,
200039022,268.3,160.9455517,14028.29104,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,514.4016642,1.917263005,-1886.139435,-7.029964351,0.32486664,
200039055,12.2,168.5083947,660.9159794,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,12.85466521,1.053661082,-47.13377242,-3.863423969,0.321488084,
200039063,2.6,168.5083947,140.8509464,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,2.739518814,1.053661082,-10.04490232,-3.863423969,0.321488084,
200039204,320.1,174.4933166,16580.16959,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,326.6822457,1.020563092,-1197.834901,-3.742064671,0.296841418,
200039519,67.2,174.4933166,3480.747881,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,68.58183978,1.020563092,-251.4667459,-3.742064671,0.296841418,
200039642,94.5,168.5083947,5119.390169,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,99.57097229,1.053661082,-365.0935651,-3.863423969,0.321488084,
200039709,38.3,168.5083947,2074.842788,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,40.35521946,1.053661082,-147.969138,-3.863423969,0.321488084,
