code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
200042497,,,CC Dombes Saône Vallée,CC,19,38120
200042604,,,"CC de Granville, Terre et Mer",CC,32,46379
200042620,,,CC de la Région de Suippes,CC,16,8005
200042646,,,CC Grand Orb CC en Languedoc,CC,24,21015
200042653,,,CC Sud-Hérault,CC,17,17874
200042703,,,CC de l'Argonne Champenoise,CC,60,12546
200042729,,,CC de la Baie du Cotentin,CC,30,24174
200042901,,,CC Drôme Sud Provence,CC,14,42670
200042935,,,CA Haut - Bugey Agglomération,CA,36,58985
200042943,,,CC du Cap Corse,CC,18,6935
200042992,,,CC Perthois-Bocage et Der,CC,25,5792
200043016,,,CC Val de Charente,CC,34,14778
200043065,,,CC du Val d'Amboise,CC,14,29057
200043081,,,"CC Chinon, Vienne et Loire",CC,19,24375
200043123,,,CC Auray Quiberon Terre Atlantique,CC,24,88373
200043156,,,CC du Pays Rethélois,CC,65,30681
200043172,,,CA du Bassin de Brive,CA,48,110812
200043263,,,CC Coeur de l'Avesnois,CC,43,31083
200043321,,,CC du Pays de Mormal,CC,53,49315
200043354,,,CC de Villedieu Intercom,CC,27,16168
200043396,,,CA Maubeuge Val de Sambre,CA,43,127897
200043404,,,CC du Sud Avesnois,CC,12,26653
200043438,,,CC de la Moivre à la Coole,CC,28,10079
200043495,,,CA du Pays de Laon,CA,38,44421
200043602,,,"CC des Albères, de la Côte Vermeille et de l'Illibéris",CC,15,55960
200043628,,,CC des Vallées du Clain,CC,16,26486
200043693,,,CC Terre Lorraine du Longuyonnais,CC,27,15870
200043776,,,CC Pyrénées Audoises,CC,62,14603
200043974,,,CC du Sud Gironde,CC,37,39148
200043982,,,CC du Bazadais,CC,31,16234
200043990,,,CC Vallons de Haute-Bretagne Communauté,CC,18,43843
200044014,,,CC Creuse Grand Sud,CC,26,12887
200044030,,,CC des Sept Vallées,CC,69,30451
200044048,,,CC Osartis Marquion,CC,49,42317
200044253,,,CC du Bassin de Joinville en Champagne,CC,59,13371
200044394,,,CC du Réolais en Sud Gironde,CC,41,23994
200044469,,,CC du Pays de Mirepoix,CC,33,10802
200044618,,,CA du Douaisis (C.A.D.),CA,35,151662
200046977,,,Métropole de LYON,ME,59,1390240
200048551,,,CC du Pays de Craon,CC,37,29353
200049187,,,CA du Grand Verdun,CA,26,30146
200049211,,,CC Conflent-Canigó,CC,47,21340
200049484,,,CC Berry Grand Sud,CC,32,12447
200054781,,,Métropole du Grand Paris,ME,131,7086571
200054807,,,Métropole d'Aix-Marseille-Provence,ME,92,1895060
200055481,,,CC Beauce Val de Loire,CC,30,20352
200055655,,,CA Roissy Pays de France,CA,42,352112
200055887,,,CC Mayenne Communauté,CC,33,38434
200056232,,,CA Communauté Paris-Saclay,CA,27,315498
200056380,,,CA Plaine Vallée,CA,18,183806
