Département,siren,Commune,Nom unique,EPCI_nom (==> données : tC.ha-1),nature,nb_com,poptot,cultures,prairies,forêts,zones humides,vergers,vignes,sols artificialisés,sols artificiels imperméabilisés,sols artificiels enherbés,sols artificiels arborés et buissonants,f_cult_for_%zpc,f_for_cult_%zpc,f_cult_prai_%zpc,f_prai_cult_%zpc,f_prai_for_%zpc,f_for_prai_%zpc,f_cult_zh_%zpc,f_zh_cult_%zpc,f_prai_zh_%zpc,f_zh_prai_%zpc,f_for_zh_%zpc,f_zh_for_%zpc,f_prai_verg_%zpc,f_verg_prai_%zpc,f_for_verg_%zpc,f_verg_for_%zpc,f_prairies_vign_%zpc,f_vign_prai_%zpc,f_for_vign_%zpc,f_vign_for_%zpc,f_for_art_ imp_%zpc,f_prai_art_imp_%zpc,f_cult_art_imp_%zpc,f_for_art_enh_%zpc,f_prai_art_enh_%zpc,f_cult_art_enh_%zpc,f_for_art_arb_%zpc,f_ prai_art_arb_%zpc,f_cult_art_arb_%zpc,
,200018166,,,CC Le Grésivaudan,CC,46,104039,52,89.46434864,79.19900656,125,46,39,44.73217432,30,89.46434864,79.19900656,0.398918763,-0.679975164,0.734301233,-1.423645248,-0.207154603,0.207154603,73,-73,35.53565136,-35.53565136,45.80099344,-45.80099344,-1.651645248,0.851901233,-0.829975164,0.486918763,-1.917645248,0.989101233,-1.004975164,0.58958543,-49.19900656,-59.46434864,-22,10.26534208,0,37.46434864,0,-10.26534208,27.19900656,
,200018406,,,CC du Romorantinais et du Monestois,CC,15,34508,42.87586496,55.24827008,82.16208846,125,46,39,27.62413504,30,55.24827008,82.16208846,0.576197945,-0.982155588,0.24249914,-0.470151395,0.543120855,-0.543120855,82.12413504,-82.12413504,69.75172992,-69.75172992,42.83791154,-42.83791154,-0.351434263,0.181266094,-0.904052212,0.530377297,-0.617434263,0.318466094,-1.079052212,0.633043964,-52.16208846,-25.24827008,-12.87586496,-26.91381838,0,12.37240513,0,26.91381838,39.28622351,
,200018521,,,CC du Val de Bouzanne,CC,12,6172,49.0703707,70.54938217,62.47901147,125,46,39,35.27469109,30,70.54938217,62.47901147,0.196660065,-0.335216019,0.420988625,-0.816202436,-0.162860081,0.162860081,75.9296293,-75.9296293,54.45061783,-54.45061783,62.52098853,-62.52098853,-0.932876523,0.481167891,-0.411975287,0.241692168,-1.198876523,0.618367891,-0.586975287,0.344358835,-32.47901147,-40.54938217,-19.0703707,8.070370697,0,21.47901147,0,-8.070370697,13.40864078,
,200022986,,,CC du Grand Pic Saint-Loup,CC,36,48510,40.51998207,62.17513356,72.63498195,125,46,39,31.08756678,30,62.17513356,72.63498195,0.471019998,-0.802874997,0.424440969,-0.822895756,0.211079741,-0.211079741,84.48001793,-84.48001793,62.82486644,-62.82486644,52.36501805,-52.36501805,-0.614655075,0.317032618,-0.665874549,0.390646402,-0.880655075,0.454232618,-0.840874549,0.493313069,-42.63498195,-32.17513356,-10.51998207,-10.4598484,0,21.65515148,0,10.4598484,32.11499988,
,200023075,,,CC du Pays de Maîche,CC,43,19102,54.99573778,96.95737776,92.94885332,125,46,39,48.47868888,30,96.95737776,92.94885332,0.556645695,-0.948827889,0.822448144,-1.59454232,-0.080892023,0.080892023,70.00426222,-70.00426222,28.04262224,-28.04262224,32.05114668,-32.05114668,-1.936380355,0.998764604,-1.173721333,0.688583182,-2.202380355,1.135964604,-1.348721333,0.791249849,-62.94885332,-66.95737776,-24.99573778,4.008524447,0,41.96163999,0,-4.008524447,37.95311554,
,200023125,,,CC Les Portes Briardes entre Villes et Forêts,CC,5,46758,43,55,83,125,46,39,27.5,30,55,83,0.586666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666667,-0.608,0.3136,-1.1,0.645333333,-53,-25,-13,-28,0,12,0,28,40,
,200023240,,,CC Pays de Nemours,CC,21,30936,41.77209817,55.88719375,77.63067081,125,46,39,27.94359687,30,55.88719375,77.63067081,0.525925732,-0.896464316,0.276655873,-0.536373632,0.438783367,-0.438783367,83.22790183,-83.22790183,69.11280625,-69.11280625,47.36932919,-47.36932919,-0.375713362,0.193788997,-0.79076677,0.463916505,-0.641713362,0.330988997,-0.96576677,0.566583172,-47.63067081,-25.88719375,-11.77209817,-21.74347706,0,14.11509557,0,21.74347706,35.85857264,
,200023299,,,CC Coeur de Tarentaise,CC,7,9897,52.37650729,89.65046619,80.40348076,125,46,39,44.82523309,30,89.65046619,80.40348076,0.411062278,-0.700674337,0.730569594,-1.416410438,-0.186604166,0.186604166,72.62349271,-72.62349271,35.34953381,-35.34953381,44.59651924,-44.59651924,-1.658717715,0.855549137,-0.860087019,0.504584385,-1.924717715,0.992749137,-1.035087019,0.607251051,-50.40348076,-59.65046619,-22.37650729,9.246985423,0,37.2739589,0,-9.246985423,28.02697347,
,200023307,,,CA du Grand Villeneuvois,CA,19,49586,50.13222563,70.76379431,62.19931336,125,46,39,35.38189716,30,70.76379431,62.19931336,0.176983953,-0.301677193,0.404378746,-0.78399961,-0.172831226,0.172831226,74.86777437,-74.86777437,54.23620569,-54.23620569,62.80068664,-62.80068664,-0.941024184,0.485370369,-0.404982834,0.237589929,-1.207024184,0.622570369,-0.579982834,0.340256596,-32.19931336,-40.76379431,-20.13222563,8.564480953,0,20.63156868,0,-8.564480953,12.06708773,
,200023372,,,CC de la Vallée de Chamonix-Mont-Blanc,CC,4,13681,52.08745678,89.23321808,79.40813165,125,46,39,44.61660904,30,89.23321808,79.40813165,0.400703231,-0.683016872,0.728056922,-1.41153893,-0.198270244,0.198270244,72.91254322,-72.91254322,35.76678192,-35.76678192,45.59186835,-45.59186835,-1.642862287,0.847371074,-0.835203291,0.489985931,-1.908862287,0.984571074,-1.010203291,0.592652597,-49.40813165,-59.23321808,-22.08745678,9.825086437,0,37.1457613,0,-9.825086437,27.32067487,
