commune,epci
Malbosc,200039832
Vescemont,200069060
Osly-Courtil,240200477
Artaix,247100639
Romain,200068294
Bolbec,200010700
Chamouille,200043495
Arnancourt,200044253
Rontignon,200067254
Jasseines,200040137
Suaux,200072049
Commensacq,200069656
Sainte-Colombe-en-Auxois,200071017
Pagny-sur-Meuse,200066157
Secondigné-sur-Belle,200069755
Acy,240200477
Courtieux,246000749
Arthenac,200041523
Cottenchy,200070969
Avroult,200069037
Bootzheim,200030526
Bissy-la-Mâconnaise,200069698
Ryes,241400555
Verchain-Maugré,245901160
Coivrel,246000566
Bassussarry,200067106
Baby,200040251
Bayecourt,200068757
Dalou,200067791
Escosse,200066231
La Feuillie,200069730
Coupray,245200597
Rillé,200072981
Clichy,200054781
Arthez-d'Armagnac,244000774
La Madeleine-Villefrouin,200055481
Kilstett,200041325
Saint-Martin-des-Pézerits,200036069
Estivaux,200043172
Taintrux,200071066
Saint-Martin-d'Abbat,244500427
Coutures,200069599
Massiges,200042703
Novillard,200069052
Feule,200065647
Solignac-sur-Loire,200073419
Guermange,200068146
Soulaines-Dhuys,200066892
Blennes,247700107
Rouelles,200027308
Bullainville,242852465
Ledeuix,200067262
Châtenois,200041861
Chabrignac,200043172
Marquigny,240800862
Ménerbes,200040624
Arnay-le-Duc,200071173
Orsinval,200043321
Tartaras,244200770
Waziers,200044618
Loutzviller,200069441
Condezaygues,200068930
Saint-Maur,200049484
Anthé,200068930
Vexaincourt,200071066
Rochefort-sur-la-Côte,200068658
Coisevaux,247000722
Maxstadt,200067502
Artigueloutan,200067254
Morillon,200034098
Subligny,200069227
Dohis,240200634
Séméacq-Blachon,200067296
Sillingy,247400567
Genillé,200071587
Saints-en-Puisaye,200067130
Villers-sous-Ailly,200070936
Puchevillers,248000747
Thoiras,200066918
Coupiac,200067155
Roussillon,200040624
Artalens-Souin,200070811
Authiou,200067692
Saint-Chély-d'Aubrac,200067171
Cazaril-Tambourès,200072643
Civry-la-Forêt,247800550
Quarante,200042653
Saint-Germain-de-Calberte,200069136
Nécy,200068450
Pusignan,246900575
Jolimetz,200043321
Mont-Notre-Dame,240200501
Saint-Privat-de-Vallongue,200069136
Mercatel,200033579
Fouquebrune,200070282
Ommeray,245701206
Courcelles-Frémoy,200071017
Menville,200071314
Azay-le-Brûlé,200041994
Domnom-lès-Dieuze,245701206
Pontivy,245614433
Roquetoire,200069037
Roissard,200030658
La Freissinouse,200067825
Chilly,200070852
Grémonville,200069847
Dizy,245100615
Valescourt,246000566
Puivert,200043776
Saint-Privat-du-Dragon,200073393
Meyronne,200066371
Saint-Martial-Entraygues,200066751
Jasses,200067288
Les Guerreaux,200071884
Missiriac,200066785
Saint-Désiré,240300657
La Capelle-et-Masmolène,200034379
Gennetines,200071140
Vantoux,200039865
Mignéville,200069433
Hénanbihen,200069391
Cademène,200068070
Saint-Amand-Magnazeix,248719262
Pinas,200070787
Croignon,243301355
Ambel,200040657
Niderhoff,200068146
Concoret,200066777
Saint-Poncy,200066637
Siros,200067254
Aumale,200069722
Guégon,200066777
Wailly,200033579
Privas,200071413
Patrimonio,200073120
Combronde,200072098
Vaumas,200071470
Grez,246000848
Lannepax,243200458
Eschwiller,200067841
Allier,200069300
Valjouffrey,200040657
Montertelot,200066777
Vigoulet-Auzil,243100633
Naves,241927201
Dissay,200069854
Wannehain,200041960
Cournonterral,243400017
Vendelles,240200493
Molosmes,200039642
Roussennac,241200674
La Vergenne,247000714
Colline-Beaumont,200069029
Terssac,248100737
Villeneuve-la-Dondagre,248900748
Saint-Nicolas-des-Bois,200069425
Montagny-en-Vexin,246000707
Le Bouchaud,200071470
Pontault-Combault,200057958
Crach,200043123
Saint-Mars-du-Désert,200042182
Fressies,200068500
Argelès-Gazost,200070811
Heugueville-sur-Sienne,200067023
Xanrey,245701206
Vignoles,200006682
Rimbez-et-Baudiets,200035541
Lézignan,200069300
Poncey-lès-Athée,200070902
Vidaillat,200067189
Longvillers,200069524
Millencourt,248000747
Aix,200066744
Ménétréol-sous-Sancerre,200069227
Tollaincourt,200068773
Borée,200072007
Vignes,200039709
Casseuil,200044394
Occey,200027308
Fraisses,244200770
Lacour,200040418
Saint-Cyr-sous-Dourdan,249100595
Font-Romeu-Odeillo-Via,246600464
Brusque,200067163
Ternay,246900765
Loupia,200071926
Igney,200069433
Berles-au-Bois,200069482
Eugénie-les-Bains,200030435
Aingoulaincourt,200044253
Lanmeur,242900835
Beveuge,247000714
Herbeuval,240800847
Guiche,200067106
Rillieux-la-Pape,200046977
Beauvallon,246900740
Acheville,246200364
Cabasse,248300550
Aillas,200044394
Saint-Vitte,200049484
Labastide-sur-Bésorgues,200073245
Audigny,200071983
Colombier,244200622
Saint-Étienne-Vallée-Française,200069136
Saint-Claude-de-Diray,244100798
Soullans,248500258
Lieffrans,247000698
Chandai,200068468
Colomby-Anguerny,241400860
Ebersheim,246700967
Cateri,242020105
Mont-Saint-Sulpice,200067304
Saint-Laurent-de-Brèvedent,247600539
Longwé,240800920
Ossas-Suhare,200067106
Crosey-le-Grand,242504371
Tour-en-Sologne,244100798
Clerlande,200070753
Saint-Papoul,200035855
La Planée,200069565
Lavergne,200066371
Yzeure,200071140
Pierrelatte,200042901
Chaillac-sur-Vienne,200059400
Belrain,200066140
Moulins-Engilbert,200067882
Les Angles,246600464
Famechon,200069482
Lignan-de-Bordeaux,243301439
Montmartin,246000897
Poids-de-Fiole,243901071
Mazières-de-Touraine,200072981
Rexingen,200067841
Adam-lès-Passavant,242504447
Sanguinet,244000873
Venasque,248400053
Saint-Géry,200070647
Plancherine,200068997
Renauvoid,200068757
Rouet,200022986
Septème,200077014
Courcelles-en-Montagne,200072999
Le Pescher,200066769
Bettviller,200069441
Antheuil-Portes,246000855
Morancourt,200068666
Houssay,200072072
Bains,200073419
Saint-Fargeol,200071082
Surzur,200067932
Saint-Côme-de-Fresné,241400555
Heiligenstein,200034270
Brin-sur-Seille,200070589
Pintheville,245501176
Ayette,200035442
Chissey-lès-Mâcon,200040293
Stosswihr,246800585
Gijounet,200066553
Vouvray-sur-Huisne,247200686
Deluz,242500361
Villiers-le-Duc,242101434
Fontaines-sur-Marne,200068666
Beausoleil,240600551
Rumersheim-le-Haut,200066025
Mons,200041689
Sanghen,200072478
La Roque-sur-Pernes,248400053
Rocques,200069532
Saint-Hilaire-du-Bois,200041523
Mondragon,200000628
Vénissieux,200046977
Tignécourt,200068773
Ginoles,200043776
Dému,243200458
Saint-Jean-de-Muzols,200073096
Barbazan-Dessus,200070803
Cercier,247400112
Silvarouvres,245200597
Saint-Martial-d'Artenset,200040384
Cervières,200065886
Pierrefitte-sur-Seine,200054781
Passa,246600449
Marais-Vernier,200066405
Saint-Jean-de-la-Rivière,200067205
Dompierre-sur-Nièvre,200068088
Saint-Loup-en-Champagne,200043156
La Villetelle,200044014
Cazac,200072643
Mouzeil,244400552
Aresches,200071595
Saint-Sauveur,200034957
Cadéac,246500573
Saint-Bômer-les-Forges,200071520
Gy,247000698
Aizanville,245200597
Héming,200068146
Soubise,200041762
Friaucourt,247600588
Garennes-sur-Eure,200071454
Veigné,200072650
Escouloubre,200043776
Remoncourt,200068682
Gourin,245614417
Barret-de-Lioure,200068229
Courcelles,245400510
Tréduder,200065928
Escoville,200065563
Cergy,249500109
Bistroff,200067502
Targassonne,246600399
Saussenac,248100497
Le Brouilh-Monbert,200072320
Tharaux,200035129
La Châtaigneraie,248500415
Barcus,200067106
Chaserey,200071041
Saint-Élix-le-Château,200068815
Saint-Michel-d'Halescourt,200069730
Présilly,243901071
Cambon,248100737
Tancon,200070548
Landres-et-Saint-Georges,240800920
Mont-Dore,246300966
Gissey-le-Vieil,200071017
Hourtin,200070720
Saint-Christophe-d'Allier,244301123
Javerdat,200059400
Mas-Saint-Chély,200069151
Champigneulles-en-Bassigny,200069664
Poigny,200037133
Rambucourt,200034874
Malaincourt-sur-Meuse,200069664
Précieux,200065886
Damblain,200068773
Valdampierre,246000582
Lemainville,200035772
Messigny-et-Vantoux,200039063
Choue,244100293
Vieux-Lixheim,200068146
Neauphlette,200071074
Bure-les-Templiers,242101434
Heiteren,200066025
Belleau,200072031
Vildé-Guingalan,200068989
Givry-lès-Loisy,200067684
Châteauneuf-d'Oze,200067445
Grenoble,200040715
Mascaras,200070803
Folles,200066512
Saint-Hilaire,200068641
Ham-sous-Varsberg,245701164
Saint-Bénigne,200071371
Monestier-d'Ambel,200040657
Gellainville,200033181
Genouillé,200041614
Saint-Pierre-d'Albigny,200041010
Monceau-Saint-Waast,200043396
Carlucet,200066371
Vitrolles,200054807
Notre-Dame-du-Bec,247600596
Velles,200068872
Izel-lès-Équerchin,200044048
Redortiers,200071025
Melve,200068765
Montséret,200035863
Mimeure,200071173
Burosse-Mendousse,200067239
Listrac-Médoc,243301389
Maillé,248500563
Roye,247000664
Sainte-Foy-l'Argentière,200066587
Le Porge,243301389
Saint-Germain-du-Corbéis,246100663
Saint-Trivier-sur-Moignans,200069193
Savoillan,248400335
Sales,247400740
Sabalos,200070803
Asté,246500482
La Celle-Condé,200027076
La Chapelle-Palluau,200072882
Saint-Christol,200035723
Chouzé-sur-Loire,200043081
Chivres-en-Laonnois,240200576
Madecourt,200068369
Legé,200071546
Le Mont,200071066
Saint-Aubin-en-Bray,246000913
Flavigny,200007177
Boulogne-Billancourt,200054781
Mareuil-en-Dôle,200072031
Sahune,200068229
Montsalès,200069383
Lavancia-Epercy,243900412
Saint-Bonnet-près-Bort,200066744
La Pesse,200026573
Nieudan,200066678
Brillac,200072049
Thors,200066892
Haraucourt-sur-Seille,245701206
Lesneven,242900793
Carlus,248100737
Houilles,200058519
Étrépagny,200071843
Meyrié,243800604
Maisons-lès-Soulaines,200066892
Kienheim,200034635
Rosières-aux-Salines,245400189
Agudelle,200041523
Vadonville,200066157
Brouchaud,242401024
Zarbeling,245701206
Vissac-Auteyrac,200073393
Cour-Cheverny,200030385
Lacapelle-Viescamp,241500230
Haux,200067106
Saint-Pierre-Aigle,200071991
Escurès,200067296
