type_localisation,code_localisation,nom_localisation,composition,surface_ic,surface_(ha),volume_(m3),volume_(m3∙ha-1),carbone_(tC),carbone_(tC∙ha-1),bois_mort_volume_(m3),bois_mort_volume_(m3∙ha-1),bois_mort_carbone_(tC),bois_mort_carbone_(tC∙ha-1),production_volume_(m3∙an-1),production_volume_(m3∙ha-1∙an-1),production_carbone_(tC∙an-1),production_carbone_(tC∙ha-1∙an-1),prelevement_volume_(m3∙an-1),prelevement_volume_(m3∙ha-1∙an-1),prelevements_carbone_(tC∙an-1),prelevement_carbone_(tC∙ha-1∙an-1),mortalite_volume_(m3∙an-1),mortalite_volume_(m3∙ha-1∙an-1),mortalite_carbone_(tC∙an-1),mortalite_carbone_(tC∙ha-1∙an-1),bilan_volume_(m3∙an-1),bilan_volume_(m3∙ha-1∙an-1),bilan_carbone_(tC∙an-1),bilan_carbone_(tC∙ha-1∙an-1),fexp_vol_carb
rad13,BFC,Bourgogne-Franche-Comte,total hors peupleraie hors indetermine,s,1654137.15,370161539.44,223.76,171678145.19,103.78,53971544.81,32.62,17525744.8,10.59,9906349.73,5.99,4335189.97,2.62,9008091.7,5.48,3461904.86,2.11,2991547.18,1.81,1387457.14,0.84,-2093289.16,-1.3,-514172.03,-0.33,0.46
rad13,BRE,Bretagne,total hors peupleraie hors indetermine,s,408774.93,75897232.84,185.34,38095460.55,93.11,10740909.7,26.35,3563996.8,8.74,2642886.11,6.47,1216178.12,2.98,1265804.22,3.34,473066.24,1.25,297759.1,0.78,149455.65,0.39,1079322.79,2.35,593656.23,1.33,0.5
rad13,COR,Corse,total hors peupleraie hors indetermine,s,390634.78,46622140.52,119.28,30736336.77,78.65,9949999.48,25.8,3876993.09,10.04,976405.07,2.5,622115.94,1.59,108320.75,0.29,69789.46,0.19,180623.43,0.51,119078.67,0.34,687460.89,1.69,433247.82,1.06,0.66
rad13,CVL,Centre-Val de Loire,total hors peupleraie hors indetermine,s,968768.34,189338238.14,195.29,92108527.42,95.01,24799826.14,25.57,8362192.79,8.62,5299544.87,5.48,2500178.72,2.59,2503681.74,2.76,1190160.09,1.31,1250358.28,1.38,608269.42,0.67,1545504.85,1.34,701749.22,0.61,0.49
rad13,GES,Grand Est,total hors peupleraie hors indetermine,s,1874143.86,408651572.33,218.07,187701998.53,100.16,65911120.51,35.17,20220863.15,10.79,11615171.32,6.21,5144397.32,2.75,9106350,5.01,3763426.44,2.07,2747038.91,1.51,1261770.98,0.69,-238217.59,-0.3,119199.9,-0.01,0.46
rad13,HDF,Hauts-de-France,total hors peupleraie hors indetermine,s,427043.2,84826100.61,198.82,42973822.72,100.73,10697549.78,25.03,3494720.05,8.18,2471225.7,5.81,1197401.04,2.82,1659569.59,4.1,794068.62,1.96,396184.48,0.98,200711.36,0.5,415471.63,0.74,202621.07,0.36,0.51
rad13,IDF,Ile-de-France,total hors peupleraie hors indetermine,s,259922.12,54294968.63,209.23,27073040.43,104.4,8239417.39,31.07,2851118.37,10.75,1333006.88,5.11,644304.22,2.47,552655.09,2.17,268221.26,1.05,320904.94,1.28,160012.48,0.64,459446.85,1.66,216070.48,0.78,0.5
rad13,NAQ,Nouvelle-Aquitaine,total hors peupleraie hors indetermine,s,2475216.8,420421649.13,169.73,201549591.18,81.37,67066980.85,27.08,21539668.95,8.7,19007335.75,7.7,8244721.08,3.34,10655372.36,4.61,4163118.1,1.8,1990831.8,0.86,954402.17,0.41,6361131.6,2.22,3127200.8,1.12,0.48
rad13,NOR,Normandie,total hors peupleraie hors indetermine,s,404796.68,85375591.45,210.45,42322655.5,104.27,9497580.24,23.46,2877901.89,7.11,2557938.96,6.32,1196058.41,2.95,1565706.16,3.9,693673.64,1.73,216783.07,0.54,107464.38,0.27,775449.74,1.87,394920.39,0.96,0.5
rad13,OCC,Occitanie,total hors peupleraie hors indetermine,s,2459913.92,368659265.58,149.79,187107871.74,76.03,62774741.46,25.47,22131779.76,8.98,9844954.69,4.02,4671804.3,1.9,3386196.76,1.55,1354634.49,0.62,1678672.37,0.77,851986.76,0.39,4780085.55,1.7,2465183.05,0.9,0.51
rad13,PAC,Provence-Alpes-Cote d'Azur,total hors peupleraie hors indetermine,s,1358629.88,134392860.45,98.93,65971388.93,48.56,22478064.54,16.54,7422788.01,5.46,3043586.93,2.24,1457490.78,1.07,702480.91,0.55,317804.07,0.25,618113.97,0.48,303422.64,0.24,1722992.04,1.22,836264.06,0.59,0.49
rad13,PDL,Pays de la Loire,total hors peupleraie hors indetermine,s,359600.03,72749463.74,202.31,35102521.64,97.6,7210830.76,20,2308418.51,6.4,2511974.85,6.99,1155536.96,3.22,1235286.83,3.57,528687.03,1.53,201861.11,0.59,97400.5,0.28,1074826.91,2.83,529449.44,1.4,0.48
bassin_populicole,Nord,Nord,Peupleraie,s,32458.68,7218296.26,223.74,2165689.42,67.09,642991.74,19.75,142563.1,4.38,511163.35,15.41,147936.58,4.47,361737.24,9.63,103030.03,2.74,55866.55,1.58,16761.52,0.47,93559.56,4.21,28145.03,1.26,0.3
bassin_populicole,Nord-Est,Nord-Est,Peupleraie,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bassin_populicole,Nord-Ouest,Nord-Ouest,Peupleraie,s,27173.67,5997782.81,214.99,1945306.11,69.55,903138.47,34.79,226739.58,8.85,451382.95,15.65,132048.41,4.57,668653.08,15.84,185874.34,4.39,93391.96,2.1,30290.52,0.68,-310662.09,-2.29,-84116.45,-0.5,0.32
bassin_populicole,Sud,Sud,Peupleraie,s,33684.93,6098931.78,176.5,1809753.76,52.22,705992.28,20.76,142084.86,4.17,672504.78,20,185905.33,5.52,814170.51,24.82,218378.57,6.66,39538.34,1.26,11732.33,0.37,-181204.07,-6.08,-44205.56,-1.51,0.3
France,France,France,Conifere,s,3121609.19,724096358.26,231.94,242155432.88,77.56,81608606.92,26.12,20268849.41,6.49,27561203.86,8.85,9216566.62,2.96,22981898.86,7.56,7250989.63,2.39,2825178.65,0.93,944808.45,0.31,1754126.36,0.35,1020768.54,0.26,0.33
France,France,France,Feuillu,s,10355956.13,1732613624.88,167.28,942758695.11,91.02,296058801.53,28.55,106392828.96,10.26,46295096.13,4.48,24262165.65,2.35,19478719.72,2,10064397.06,1.03,10494527.81,1.08,5710336.8,0.59,16321848.61,1.4,8487431.78,0.73,0.54
France,France,France,Mixte,s,1866629.59,385992049.67,206.73,158134014.61,84.68,64687019.54,34.68,18905447.91,10.14,11541879.22,6.19,4496154.57,2.41,6847062.23,3.77,2419657.35,1.33,3136961.65,1.72,1285156.88,0.7,1557855.33,0.7,791340.34,0.37,0.41
France,France,France,Peupleraie,s,116921.89,24269019.88,207.38,7427411.52,63.39,3023478.81,25.42,689212.49,5.8,2081344.68,17.39,593194.47,4.96,2273676.24,16.69,626323.65,4.6,232125.74,1.65,71040.91,0.5,-424457.3,-0.95,-104170.09,-0.14,0.31
France,France,France,total hors peupleraie hors indetermine,s,15344194.92,2842702032.81,185.25,1343048142.6,87.52,442354427.98,28.8,143143919.8,9.32,85398179.21,5.58,37974886.84,2.48,49307680.81,3.38,19735044.04,1.35,16456668.11,1.13,7775031.39,0.53,19633830.3,1.07,10464811.41,0.59,0.47
France,France,France,total avec peupleraie hors indetermine,s,15461116.81,2866971052.69,185.42,1350475554.12,87.34,445377906.79,28.78,143787927.94,9.29,87479523.89,5.67,38568081.31,2.5,51581357.05,3.5,20361367.69,1.38,16688793.84,1.13,7861191.38,0.53,19209373,1.03,10345522.24,0.58,0.47
France,France,France,total avec peupleuraie avec indetermine,s,16591217.09,2872082099.89,173.1,1353362542.74,81.56,459708781.24,27.69,147665635.57,8.89,87770110.41,5.3,38727207.58,2.34,51728084.75,3.26,20427125.97,1.29,16736793.21,1.05,7886595.24,0.5,19305232.44,0.99,10413486.37,0.56,0.47
